frame.number,frame.time,frame.time_delta,,frame.len,mac-lte.rnti,mac-lte.direction
248,Aug 13 2019 19:24:07.328000000 MST,0.004049,3.214215,128,70,1
249,Aug 13 2019 19:24:07.367837000 MST,0.039837,3.254052,950,70,1
250,Aug 13 2019 19:24:07.388855000 MST,0.021018,3.27507,548,70,0
251,Aug 13 2019 19:24:07.508951000 MST,0.120096,3.395166,548,70,0
252,Aug 13 2019 19:24:07.525959000 MST,0.017008,3.412174,72,70,1
253,Aug 13 2019 19:24:07.546863000 MST,0.020904,3.433078,364,70,1
254,Aug 13 2019 19:24:07.589035000 MST,0.042172,3.47525,548,70,0
255,Aug 13 2019 19:24:07.601898000 MST,0.012863,3.488113,88,70,1
256,Aug 13 2019 19:24:07.628900000 MST,0.027002,3.515115,548,70,0
257,Aug 13 2019 19:24:07.641818000 MST,0.012918,3.528033,72,70,1
258,Aug 13 2019 19:24:07.667886000 MST,0.026068,3.554101,2784,70,1
259,Aug 13 2019 19:24:07.669851000 MST,0.001965,3.556066,1206,70,1
260,Aug 13 2019 19:24:07.708916000 MST,0.039065,3.595131,548,70,0
261,Aug 13 2019 19:24:07.729824000 MST,0.020908,3.616039,822,70,1
262,Aug 13 2019 19:24:07.730862000 MST,0.001038,3.617077,108,70,1
263,Aug 13 2019 19:24:07.748868000 MST,0.018006,3.635083,548,70,0
264,Aug 13 2019 19:24:07.761896000 MST,0.013028,3.648111,588,70,1
265,Aug 13 2019 19:24:07.768868000 MST,0.006972,3.655083,548,70,0
266,Aug 13 2019 19:24:07.788913000 MST,0.020045,3.675128,548,70,0
267,Aug 13 2019 19:24:07.798080000 MST,0.009167,3.684295,1707,70,0
268,Aug 13 2019 19:24:07.798957000 MST,0.000877,3.685172,1707,70,0
269,Aug 13 2019 19:24:07.799988000 MST,0.001031,3.686203,1707,70,0
270,Aug 13 2019 19:24:07.800905000 MST,0.000917,3.68712,1542,70,0
271,Aug 13 2019 19:24:07.801958000 MST,0.001053,3.688173,1707,70,0
272,Aug 13 2019 19:24:07.802911000 MST,0.000953,3.689126,548,70,0
273,Aug 13 2019 19:24:07.806923000 MST,0.004012,3.693138,1707,70,0
274,Aug 13 2019 19:24:07.808003000 MST,0.00108,3.694218,1707,70,0
275,Aug 13 2019 19:24:07.809027000 MST,0.001024,3.695242,1707,70,0
276,Aug 13 2019 19:24:07.809969000 MST,0.000942,3.696184,1707,70,0
277,Aug 13 2019 19:24:07.810000000 MST,0.000031,3.696215,72,70,1
278,Aug 13 2019 19:24:07.811747000 MST,0.001747,3.697962,72,70,1
279,Aug 13 2019 19:24:07.812813000 MST,0.001066,3.699028,72,70,1
280,Aug 13 2019 19:24:07.813910000 MST,0.001097,3.700125,72,70,1
281,Aug 13 2019 19:24:08.094782000 MST,0.280872,3.980997,588,70,1
282,Aug 13 2019 19:24:08.128892000 MST,0.03411,4.015107,548,70,0
283,Aug 13 2019 19:24:08.179802000 MST,0.05091,4.066017,72,70,1
284,Aug 13 2019 19:24:08.208898000 MST,0.029096,4.095113,548,70,0
285,Aug 13 2019 19:24:08.220965000 MST,0.012067,4.10718,188,70,1
286,Aug 13 2019 19:24:08.248896000 MST,0.027931,4.135111,548,70,0
287,Aug 13 2019 19:24:08.288915000 MST,0.040019,4.17513,548,70,0
288,Aug 13 2019 19:24:08.301847000 MST,0.012932,4.188062,364,70,1
289,Aug 13 2019 19:24:08.328836000 MST,0.026989,4.215051,548,70,0
290,Aug 13 2019 19:24:08.348881000 MST,0.020045,4.235096,548,70,0
291,Aug 13 2019 19:24:08.361817000 MST,0.012936,4.248032,88,70,1
292,Aug 13 2019 19:24:08.388808000 MST,0.026991,4.275023,548,70,0
293,Aug 13 2019 19:24:08.401933000 MST,0.013125,4.288148,72,70,1
294,Aug 13 2019 19:24:08.428974000 MST,0.027041,4.315189,2784,70,1
295,Aug 13 2019 19:24:08.429988000 MST,0.001014,4.316203,1302,70,1
296,Aug 13 2019 19:24:08.468852000 MST,0.038864,4.355067,548,70,0
297,Aug 13 2019 19:24:08.508998000 MST,0.040146,4.395213,548,70,0
298,Aug 13 2019 19:24:08.521886000 MST,0.012888,4.408101,364,70,1
299,Aug 13 2019 19:24:08.568925000 MST,0.047039,4.45514,548,70,0
300,Aug 13 2019 19:24:08.621973000 MST,0.053048,4.508188,72,70,1
301,Aug 13 2019 19:24:13.669041000 MST,5.047068,9.555256,548,70,0
302,Aug 13 2019 19:24:13.681889000 MST,0.012848,9.568104,200,70,1
303,Aug 13 2019 19:24:13.708974000 MST,0.027085,9.595189,548,70,0
304,Aug 13 2019 19:24:13.728997000 MST,0.020023,9.615212,548,70,0
305,Aug 13 2019 19:24:13.768801000 MST,0.039804,9.655016,88,70,1
306,Aug 13 2019 19:24:13.808999000 MST,0.040198,9.695214,548,70,0
307,Aug 13 2019 19:24:13.817884000 MST,0.008885,9.704099,128,70,0
308,Aug 13 2019 19:24:13.857936000 MST,0.040052,9.744151,284,70,1
309,Aug 13 2019 19:24:13.888866000 MST,0.03093,9.775081,548,70,0
310,Aug 13 2019 19:24:13.931884000 MST,0.043018,9.818099,72,70,1
311,Aug 13 2019 19:24:13.968814000 MST,0.03693,9.855029,548,70,0
312,Aug 13 2019 19:24:14.008869000 MST,0.040055,9.895084,160,70,1
313,Aug 13 2019 19:24:14.011921000 MST,0.003052,9.898136,388,70,1
314,Aug 13 2019 19:24:14.013860000 MST,0.001939,9.900075,3557,70,1
315,Aug 13 2019 19:24:14.048856000 MST,0.034996,9.935071,548,70,0
316,Aug 13 2019 19:24:14.088994000 MST,0.040138,9.975209,548,70,0
317,Aug 13 2019 19:24:14.148919000 MST,0.059925,10.035134,548,70,0
318,Aug 13 2019 19:24:14.191834000 MST,0.042915,10.078049,72,70,1
319,Aug 13 2019 19:24:14.228939000 MST,0.037105,10.115154,548,70,0
320,Aug 13 2019 19:24:14.267937000 MST,0.038998,10.154152,72,70,1
321,Aug 13 2019 19:24:28.908829000 MST,14.640892,24.795044,548,70,0
322,Aug 13 2019 19:24:28.920859000 MST,0.01203,24.807074,72,70,1
323,Aug 13 2019 19:24:29.946749000 MST,1.02589,25.832964,532,70,1
324,Aug 13 2019 19:24:29.988862000 MST,0.042113,25.875077,548,70,0
325,Aug 13 2019 19:24:30.408823000 MST,0.419961,26.295038,548,70,0
326,Aug 13 2019 19:24:30.428920000 MST,0.020097,26.315135,548,70,0
327,Aug 13 2019 19:24:30.472800000 MST,0.04388,26.359015,88,70,1
328,Aug 13 2019 19:24:30.488854000 MST,0.016054,26.375069,548,70,0
329,Aug 13 2019 19:24:30.492880000 MST,0.004026,26.379095,88,70,1
330,Aug 13 2019 19:24:30.504723000 MST,0.011843,26.390938,72,70,1
331,Aug 13 2019 19:24:30.508892000 MST,0.004169,26.395107,548,70,0
332,Aug 13 2019 19:24:30.536858000 MST,0.027966,26.423073,308,70,1
333,Aug 13 2019 19:24:30.568886000 MST,0.032028,26.455101,548,70,0
334,Aug 13 2019 19:24:30.573887000 MST,0.005001,26.460102,284,70,1
335,Aug 13 2019 19:24:30.579907000 MST,0.00602,26.466122,612,70,1
336,Aug 13 2019 19:24:30.580888000 MST,0.000981,26.467103,88,70,1
337,Aug 13 2019 19:24:30.586874000 MST,0.005986,26.473089,176,70,1
338,Aug 13 2019 19:24:30.609023000 MST,0.022149,26.495238,548,70,0
339,Aug 13 2019 19:24:30.617959000 MST,0.008936,26.504174,1398,70,0
340,Aug 13 2019 19:24:30.630927000 MST,0.012968,26.517142,72,70,1
341,Aug 13 2019 19:24:30.636735000 MST,0.005808,26.52295,232,70,1
342,Aug 13 2019 19:24:30.637803000 MST,0.001068,26.524018,88,70,1
343,Aug 13 2019 19:24:30.656791000 MST,0.018988,26.543006,2784,70,1
344,Aug 13 2019 19:24:30.658726000 MST,0.001935,26.544941,1254,70,1
